ggl_name,bng_name,reach
El Nuevo Diario (Rep\xc3\xbablica Dominicana),El nuevo Diario,357944
naftemporiki.gr,tornosnews.gr,95467
Le360.ma,le360,788475
Helsinki Times,Helsinki Times,43076
NRC,NRC,307459
Saipan Tribune,Saipan Tribune,31221
SHINE,Daily News Hungary,16960914
Friesch Dagblad,lc.nl,98826
Volkskrant,Volkskrant,1372586
Haarlems Dagblad (persbericht),MSN,470324
Leidsch Dagblad (persbericht),MSN,117043
De Gelderlander,Voetbalzone,470324
Reformatorisch Dagblad,RD,329420
The Star Online,The Star,352163
Jungle World,Clayton News,5983
The Borneo Post,The Borneo Post,357527
\xe5\x85\x89\xe5\x8d\x8e\xe6\x97\xa5\xe6\x8a\xa5,The Star,541790
neues deutschland,elnacional,10348
Liechtensteiner Volksblatt,MSN,29918
SPIEGEL ONLINE,Nasdaq,418852
Morgenpost,The Daily Telegraph,72579
Lausitzer Rundschau,Tesla News,49863
Berliner Kurier,Independent,60012
Stuttgarter Nachrichten,Maxifoot,108203
Abendzeitung,Le Figaro,53669
El Siglo de Torre\xc3\xb3n,El Siglo de Torreón,3741881
Rio Doce,MSN,3741881
http://hamodia.com,Hamodia,48801
Nepali times,Nepali Times,1144329
El Peruano,andina.pe,8037156
Ouest-France,Ouest-France,14482
FranceGuyane.fr,France 3 Régions,96910
The New Times,The New Times,2990819
Contrepoints,Contrepoints,96910
Franceinfo,Lematin,29599
Les Nouvelles Cal\xc3\xa9doniennes,Les Nouvelles calédoniennes,96910
Barrier Daily Truth,Barrier Daily Truth,34056
Wangaratta Chronicle,wangarattachronicle.com.au,34056
Le nouvel Economiste,Le Nouvel Economiste,96910
Green Left Weekly,Green Left Weekly,34056
Gulf Times,Gulf Times,6927
The Saturday Paper,The Saturday Paper,30135
Ararat Advertiser,The Ararat Advertiser,34056
Warwick Daily News,Warwick Daily News,873
The Cairns Post,The Cairns Post,2714
The West Australian,The West Australian,19004
The West Australian,The West Australian,34056
The West Australian,The West Australian,2443
Bendigo Advertiser,Bendigo Advertiser,38008
Fraser Coast Chronicle,Fraser Coast Chronicle,2592
Whitsunday Times,The Toowoomba Chronicle,34056
Gold Coast Bulletin,Gold Coast Sun,34056
The West Australian,The West Australian,1553
Messenger Newspapers,Messenger Newspapers,24977
NT News,Northern Territory News,34056
South Burnett Times,The Toowoomba Chronicle,34056
The Canberra Times,The Canberra Times,34056
Queensland Country Life,Queensland Country Life,34056
L\'Humanit\xc3\xa9,L'Humanité,96910
Business Recorder,Business Recorder,1483423
Daily Jang,jobz.pk,1483423
Sunraysia Daily,Sunraysia Daily,34056
Shepparton News,Shepparton News,34056
Geelong Advertiser,Geelong Advertiser,19004
Morning Bulletin,The Morning Bulletin,3990
Khabrain Abhi Tak,jobz.pk,1483423
\xe9\xa6\x99\xe6\xb8\xaf01,YAHOO!,16894
Myanmar Times,The Myanmar Times,536459
\xec\x9a\xb0\xeb\xa8\xbc\xec\x8a\xa4\xed\x94\x8c\xeb\x9d\xbc\xec\x9b\x8c,News Track,536459
Solomon Star,Solomon Star,75722
Krakow Post,krakowpost.com,10050
Dziennik Zachodni,Tehran Times on MSN.com,65530
El Nuevo Dia.com,El Nuevo Día,263895
ItaSportPress,MSN,32857
Waterkant,Waterkant,19906
UrduPoint News,News Track,2982857
Minda News,MindaNews,2893146
Business Mirror,BusinessMirror,442109
The Manila Times,MSN,2893146
Pilipino Star Ngayon,philstar.com,2893146
Enab Baladi (press release),alaraby.co.uk,68341
Daily Sun,The Sun,353992
Premium Times,Premium Times,2736125
Manila Bulletin,efeedlink.com,2893146
Nigerian Observer,Nigerian Observer,2736125
The Slovak Spectator,SME,71506
Mindanao Times (press release),Mindanao Times,2893146
Ziarul Financiar,Telecompaper,322280
Express.co.uk,Express,2736125
The Taiwan Times,Telecompaper,369771
ft.lk,FT,247476
Trinidad News,Global Voices Online,63947
\xe0\xb6\xaf\xe0\xb7\x92\xe0\xb6\xb1\xe0\xb6\xb8\xe0\xb7\x92\xe0\xb6\xab,hardloopnieuws.nl,176611
\xe5\x8f\xb0\xe7\x81\xa3\xe6\x97\xa5\xe5\xa0\xb1\xe6\x96\xb0\xe8\x81\x9e\xe7\xb6\xb2\xe7\x89\x88\xe6\xac\x8a\xe6\x89\x80\xe6\x9c\x89,The Daily Telegraph,933836
Popular,TV Sports Markets,26746
Tamil Murasu (\xe0\xae\x9a\xe0\xaf\x86\xe0\xae\xaf\xe0\xaf\x8d\xe0\xae\xa4\xe0\xae\xbf\xe0\xae\xa4\xe0\xaf\x8d\xe0\xae\xa4\xe0\xae\xbe\xe0\xae\xb3\xe0\xaf\x8d \xe0\xae\x85\xe0\xae\xb1\xe0\xae\xbf\xe0\xae\xb5\xe0\xae\xbf\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xaf\x81),The Hindu,37212
Jornal de Not\xc3\xadcias,Telecompaper,23963
Tu\xe1\xbb\x95i Tr\xe1\xba\xbb Online,Focus Taiwan,20716242
Zimbabwe Independent,Zimbabwe Independent,104608
MercoPress,Uruguay News,313913
Daily Monitor (press release) (blog),Daily Monitor,310122
Cherokee Phoenix,Cherokee Phoenix,34304330
\xe0\xa4\xb0\xe0\xa5\x82\xe0\xa4\xb8-\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xa6 (blog),RBTH,2389876
Plattsburgh Press Republican,Press-Republican,34304330
The Keene Sentinel,The Keene Sentinel,291869
GazetteNET,Daily Hampshire Gazette,251716
\xe0\xb8\xa1\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x8a\xe0\xb8\x99,Khaosod English,707609
Berkshire Eagle,Berkshire Eagle,496907
Corriere della Sera,Comunità di Sant'Egidio,70820
El Peri\xc3\xb3dico,Newsweek,195929
syracuse.com,syracuse.com,1482299
Diario de Almer\xc3\xada,Football League World,147717
Il Gazzettino,Sempreinter,29781
Gazzetta del Sud,ANSA,17073
La Vanguardia,YAHOO!,323048
La Gazzetta del Mezzogiorno,Libero,37657
G\xc3\xb6teborgs-Posten,The Local,330026
Bieler Tagblatt,Le Matin on MSN.com,29652
SowetanLIVE,The Maravi Post,224233
Gauchebdo,gauchebdo.ch,44399
BZ Berner Zeitung,Planète Hockey,179659
Twents Volksblad (persbericht) (Blog),MSN,525004
Mail and Guardian,mg.co.za,46716
Independent Online,IOL News,525004
Independent Online,IOL News,525004
TimesLIVE,Times LIVE,525004
Svenska Dagbladet,Project Syndicate,272457
Dagbladet.no,Project Syndicate,103342
Aftenposten,newsinenglish.no,473185
Klassekampen,newsinenglish.no,60338
Stuff.co.nz,Stuff.co.nz,13762
Dagsavisen,newsinenglish.no,45799
Nettavisen,TigerDroppings.com,60338
Stuff.co.nz,Stuff.co.nz,37677
New Zealand Herald,The New Zealand Herald,22743
Nordlys,La Voix du Nord,58095
Daily Telegraph,The Daily Telegraph,71187
Sunnm\xc3\xb8rsposten,Design You Trust,60338
Stuff.co.nz,Stuff.co.nz,73085
Stuff.co.nz,Stuff.co.nz,24277
Independent Online,IOL News,525004
New Zealand Herald,The New Zealand Herald,10211
New Zealand Herald,The New Zealand Herald,22743
Aftonbladet,Voetbalzone,294307
Northern Daily News,Northern News,22743
AllOTSEGO (press release) (blog),WAMC,8504
Gorey Guardian,Independent.ie,8504
Nenagh Guardian,Nenagh Guardian,2281
Leinster Express,Leinster Express,8504
Daily Miner and News,Kenora Daily Miner and News,121577
Limerick Leader,Limerick Leader,8504
Clare Champion,The Clare Champion,8504
Independent.ie,Independent.ie,57900
The Kerryman,Independent.ie,6978
Dundalk Democrat,Dundalk Democrat,8504
Irish Examiner,Irish Examiner,8919
New Zealand Herald,The New Zealand Herald,22743
Limerick Post,Limerick Post,17545
Irish Times,The Irish Times,20399
Donegal News,Highland Radio,1481
Mayo News,Mayo News,3619
Meath Chronicle,Meath Chronicle,5141
Wexford People,Wexford People,8504
TipperaryLive.ie,The42.ie,3183
Westmeath Independent,Westmeath Independent,8504
The Irish News,The Irish News,17398
Irish Farmers Journal,Dundalk Democrat,21382
Drogheda Independent,Independent.ie,8504
Lethbridge Herald,Lethbridge Herald,10267
Red Deer Advocate,iPhone in Canada,9006
Cranbrook Townsman,cranbrooktownsman.com,3261
Brockville Recorder and Times,Sarnia Observer,121577
Truro Daily News,Truro Daily News,3782
National Post,National Post,92950
Timmins Press,Timmins Daily Press,3914
Sarnia Observer,Sarnia Observer,7939
The North Bay Nugget,North Bay Nugget,7504
Owen Sound Sun Times,Owen Sound Sun Times,121577
The Journal Pioneer,Journal Pioneer,5231
Drayton Valley Western Review,Drayton Valley Western Review,2776
StCatharinesStandard.ca,St. Catharines Standard,11610
Prince Albert Daily Herald,Prince Albert Daily Herald,3707
WellandTribune.ca,St. Catharines Standard,121577
TheSpec.com,The Hamilton Spectator,64826
Whitehorse Star,Whitehorse Star,121577
Le Journal de Qu\xc3\xa9bec,Le Journal de Québec,53515
Brantford Expositor,Brantford Expositor,10011
Edson Leader,Edson Leader,1841
The Sudbury Star,Sudbury Star,9740
The London Free Press,London Free Press,39030
ThePeterboroughExaminer.com,Peterborough Examiner,8056
Campbell River Mirror,Campbell River Mirror,10566
St. Thomas Times-Journal,St. Thomas Times-Journal,121577
Fort McMurray Today,Fort McMurray Today,121577
Aldergrove Star,Aldergrove Star,121577
Pincher Creek Echo,Pincher Creek Echo,808
Bancroft This Week,bancroftthisweek.com,121577
Burnaby Now,Burnaby Now,121577
Hinton Parklander,Hinton Parklander,2706
Whitecourt Star,Whitecourt Star,1796
Kamloops This Week,Kamloops This Week,121577
Thompson Citizen,Thompson Citizen,121577
Canadian Jewish News (blog),Canadian Jewish News,20415
Fort Frances Times,Times,2230
Sault This Week,Sault This Week,121577
Minden Times,Minden Times,121577
Elliot Lake Standard,Elliot Lake Standard,121577
Cochrane Times Post,Cochrane Times-Post,1695
TheRecord.com,Waterloo Region Record,34831
Winnipeg Sun,Winnipeg Sun,28975
Woodstock Sentinel Review,Woodstock Sentinel-Review,121577
The Dialog,hardlikesoftware.com,121577
Peace Arch News,Peace Arch News,24132
Alaska Highway News,Alaska Highway News,121577
Calgary Herald,Calgary Herald,70411
Abbotsford News,Abbotsford News,26089
Ubyssey Online,The Ubyssey,3913
The Eyeopener,The Eyeopener,6522
Edmonton Journal,Edmonton Journal,59860
Medicine Hat News,Medicine Hat News,7111
The University Times,universitytimes.ie,3509
Cambridge Times,Waterloo Region Record,121577
Lakeshore Advance,Lakeshore Advance,121577
Nagaland Post,Nagaland Post,9398
TheChronicleHerald.ca,The Chronicle Herald,59453
The New Indian Express,The New Indian Express,47340
Times of India,India Times,404254
Sangbad Pratidin (press release),Bizcommunity on MSN.com,40821
Telangana Today,The News Minute,1047644
Alberta Daily Herald Tribune,Daily Herald Tribune,18363
Acadie Nouvelle,acadienouvelle.com,121577
NorthEast Today,Assam Tribune,107157
Kashmir Times,Kashmir Times,306163
The Hitavada,India Times,1047644
Daily Excelsior,Daily Excelsior,35208
The Hans India,The Hans India,33678
\xe0\xb4\x95\xe0\xb5\x87\xe0\xb4\xb0\xe0\xb4\xb3 \xe0\xb4\x95\xe0\xb5\x8c\xe0\xb4\xae\xe0\xb5\x81\xe0\xb4\xa6\xe0\xb4\xbf,Kerala Kaumudi,1047644
E-Pao.net,E-Pao,1047644
\xe0\xb4\x9c\xe0\xb4\xa8\xe0\xb5\x8d\xe0\xb4\xae\xe0\xb4\xad\xe0\xb5\x82\xe0\xb4\xae\xe0\xb4\xbf,Hindu Blog,1047644
Thejas News,The Aspen Times,1047644
The Asian Age,Travel Biz Monitor,153081
Economic Times,India Times,56443
Greater Kashmir,The Telegraph,1047644
\xe0\xae\xa4\xe0\xae\xbf\xe0\xae\xa9\xe0\xae\xae\xe0\xae\xa3\xe0\xae\xbf,The Hindu,1047644
The Tribune,The Tribune,1047644
Loksatta,The Indian Express,61232
Deshabhimani,India Times,1047644
The Tribune,The Tribune,1047644
Assam Tribune,Assam Tribune,1047644
Eenadu,GREATANDHRA,285
The Sunday Guardian,OpIndia.com,1047644
Janayugom,The Hindu,1047644
\xe0\xb2\x95\xe0\xb2\xa8\xe0\xb3\x8d\xe0\xb2\xa8\xe0\xb2\xa1 \xe0\xb2\xaa\xe0\xb3\x8d\xe0\xb2\xb0\xe0\xb2\xad,India Infoline,1047644
\xe0\xb2\xaa\xe0\xb3\x8d\xe0\xb2\xb0\xe0\xb2\x9c\xe0\xb2\xbe\xe0\xb2\xb5\xe0\xb2\xbe\xe0\xb2\xa3\xe0\xb2\xbf,The Hans India,85489
expressandstar.com,Express & Star,20832
Birmingham Live,Birmingham Live,7784
Buckinhamshire Free Press,Bucks Free Press,180269
\xe0\xb4\xa6\xe0\xb5\x80\xe0\xb4\xaa\xe0\xb4\xbf\xe0\xb4\x95,Hindu Blog,1047644
Eastern Daily Press,Easter Daily Press,13088
City A.M.,City A.M.,46351
Basingstoke Gazette,The Gazette,180269
Daily Mail,Press Gazette,522238
The Chester Standard,chesterstandard.co.uk,180269
Manchester Evening News,Manchester Evening News,19070
Salisbury Journal,Salisbury Journal,180269
Isle of Wight County Press,Hold The Front Page,12387
Bournemouth Echo,Southern Daily Echo,6616
Mid Sussex Times,Mid Sussex Times,6146
Northumberland Gazette,Northumberland Gazette,180269
Midweek Herald,Midweek Herald 24,180269
HullLive,Hull Live,11307
shropshirestar.com,Shropshire Star,10171
Reading Chronicle,Reading Chronicle,180269
Surrey Live,Get Surrey,180269
Hartlepool Mail,Hartlepool Mail,1741
Your Local Guardian,Your Local Guardian,53711
Henley Standard,Henley Standard,6153
Islington Gazette,Islington Gazette,180269
Eastbourne Herald,Eastbourne Herald,180269
Newham Recorder,Newham Recorder,180269
Kent Online,Kent Online,180269
Bucks Herald,Herald & Review,180269
Lancashire Telegraph,Lancashire Telegraph,180269
Halesowen News,Halesowen News,30722
Teesdale Mercury,Teesdale Mercury,180269
Evening Standard,Evening Standard,444793
Romford Recorder,Romford Recorder,11548
Oldham Chronicle,Chronicle Online,180269
Newark Advertiser,Newark Advertiser,180269
Buxton Advertiser,Buxton Advertiser,180269
Newbury Weekly News Group,Newbury Weekly News,7435
Hertfordshire Mercury,Hertfordshire Mercury,9153
Fleetwood Weekly News,Blackpool Gazette,180269
Surrey Comet,Surrey Comet,1264
Bedford Today,Times Citizen,31768
Whitby Gazette,Whitby Gazette,180269
Wiltshire Times,Wiltshire Times,3327
The Ulster Herald,Ulster Herald,6628
Portadown Times,Portadown Times,180269
Western Telegraph,Western Telegraph,180269
Greenock Telegraph,Greenock Telegraph,4823
Derry Now,Eagle-Tribune,180269
Your Local Guardian,Your Local Guardian,180269
Maidenhead Advertiser,Maidenhead Advertiser,538
Bridlington Free Press,Bridlington Free Press,5677
Daily Post Nigeria,Daily Post Nigeria,4424
Romsey Advertiser,Romsey Advertiser,180269
Harborough Mail,Harborough Mail,180269
Warrington Guardian,Warrington Guardian,180269
The Sunday Post,The Sunday Post,68526
Stourbridge News,Stourbridge News,29614
The Mancunion,The Mancunion,180269
Oxford Student,The Oxford Student,8076
Rugby Observer (press release) (blog),rugbyobserver.co.uk,180269
Wakefield Express,Wakefield Express,18272
FG Insight,Farmers Guardian,180269
Deccan Chronicle,Deccan Chronicle,180269
ABP Live,YAHOO!,1102551
The Non-League Football Paper,The Non-League Paper,180269
The Muslim News,The  Muslim News,75382
The Wiltshire Gazette and Herald,Gazette and Herald,180269
Wetherby News,Wetherby News,180269
Fermanagh Herald,BBC,7090
Lake County News Chronicle,Chronicle-Tribune,180269
South Wales Argus,South Wales Argus,7105
RTE.ie,Irish Sun,44534
Channel NewsAsia,Channel NewsAsia Singapore,51739
NOS,NOS,163838
TGCOM,Sport,547982
\xe0\xae\xa8\xe0\xae\xbf\xe0\xae\xaf\xe0\xaf\x82\xe0\xae\xb8\xe0\xaf\x8d7 \xe0\xae\xa4\xe0\xae\xae\xe0\xae\xbf\xe0\xae\xb4\xe0\xaf\x8d,Express,46630
saamtv (satire) (press release) (blog),Television Post,5600000
Samaa News,Samaa,716080
BBC News,BBC,252093010
Socialist Worker,Socialist Worker,4307
CNN T\xc3\xbcrk,Novinite,691071
TOLOnews,TASS,73374
polsatnews.pl,Tehran Times on MSN.com,32137666
TVN24,Phys.org,132121519
#,thedubrovniktimes.com,96368
#,richest,29691
#,Meaww,260836
AllAfrica.com,Ghanaweb.com,960718
#,Fijivillage,29691
#,Business Wire,29691
#,Sunshine Coast Daily,2703
Escambray,Radio Cadena Agramonte,96100
Reykjav\xc3\xadk Grapevine,The Reykjavík Grapevine,2703
\xd9\x88\xd9\x83\xd8\xa7\xd9\x84\xd8\xa9 \xd8\xb9\xd9\x85\xd9\x88\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xae\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa9,ammonnews.net,600715
#,New York Times,2356549
#,aa.com.tr,1502063
MENAFN.COM,Zawya,37551
Jornal de Angola,#,7078067
Diari d’Andorra,#,71872
Kuensel~ Buhutan's National Newspaper,#,41272
Algérie Patriotique (Communiqué de presse) (Blog),#,40251
Worldmeets.us,#,214739
el-massa,#,214739
Nation News,#,58664
Barbados Advocate,#,58664
Nehanda Radio,#,432075
Royal Gazette,#,1015
Bermuda Sun,#,1015
The Patriot On Sunday (press release),#,171000
The Guardian,#,30478
Amandala,#,30478
MENAFN.COM,#,89244
Amandala,Volkskrant,60956
Condé Nast Traveler,#,2285
Le Messager,#,2021511
Armenpress.am,#,180247
lalibre.be,#,1495183
News of Bahrain- DT News (press release),#,23160
Le Soir,#,1495183
Cameroon Tribune,#,2021511
Pajhwok Afghan News (blog),#,1660345
Amandala,#,2973
Глас Српске,#,454180
kurier.at,Omroep Gelderland,943691
മനോരമ ന്യൂസ്,#,1526153
Oslobodjenje,#,454180
ИА REGNUM,#,1660345
BVI Beacon,#,134
The Khaama Press News Agency (press release) (blog),#,1660345
Africultures,#,63888
JutarnjiList,#,454180
Данас,#,454180
BBC News,MSN,5785740
inoСМИ.Ru,#,5268
Nezavisne Novine,#,103765
lanationbenin.info,#,760351
Sputnik Afghanistan,#,89244
La Capitale,#,316651
derStandard.at,Tijd,210798
El Colombiano,#,2587320
Vorarlberger Nachrichten,#,154422
Diario Financiero,#,142905
DarikNews,#,160916
L'Echo,#,102620
alithia.gr (Δελτίο Τύπου),#,102722
Het Belang van Limburg,#,626965
Tiroler Tageszeitung Online,#,237761
El Tiempo (por eliminar),#,1221219
Diario Extra Costa Rica,#,1221219
Portal dos Jornalistas (liberação de imprensa),#,13695
El Correo,#,1940810
Expresso das Ilhas (liberação de imprensa),#,13695
El Comercio (Ecuador),#,579346
ALBANIA NEWS,#,96143
Cyprus Mail,#,55955
Expresso das Ilhas (liberação de imprensa),#,48895
Portal O Taboanense,#,13695
CNN (blog),#,24447
El Divisadero,#,805103
\xd0\xa0\xd0\xad\xd0\x93 "\xd0\x91\xd0\xb8\xd1\x80\xd0\xb6\xd0\xb0",#,243178
LaTercera,#,805103
The Guardian,#,1381530
nachrichten.at,#,311295
Neues Volksblatt,#,107436
DiePresse.com,#,196091
Gazet van Antwerpen,#,136929
Salzburger Nachrichten,HLN,193640
AlterPresse-Ha\xc3\xafti,#,1467358
ElTiempo.com,#,11899552
Diario El Rancag\xc3\xbcino,#,805103
GrenzEcho.net,#,67818
The Brussels Times,#,316651
Het Nieuwsblad,#,1320653
The Phnom Penh Post,#,974099
De Tijd,#,323941
lalibre.be,#,194439
Le Soir,#,1001214
Khmer Times,Nieuwsblad,974099
Total Croatia News,#,37627
Tirana Times,#,96143
Di\xc3\xa1rio de Pernambuco,#,6877788
Blesk.cz,#,1495505
O POVO (Blogue),#,782798
Jornal Correio do Povo,#,6877788
Hospod\xc3\xa1\xc5\x99sk\xc3\xa9 noviny,#,210427
Estado de Minas,#,546569
Folha de S.Paulo,#,582333
Gadaa.com Oduu - News,#,3206780
Correo del Sur,#,293405
Correio Popular,#,313119
Hal\xc3\xb3 Noviny,#,260108
Gazeta do Povo,#,6877788
Kjarninn (Fr\xc3\xa9ttatilkynning),#,716
Fiskeribladet,#,716
Valor Econ\xc3\xb4mico (Blogue),#,378352
Neues Volksblatt,#,260108
UNPO,#,55955
Los Tiempos,#,235444
eju.tv,#,293405
\xc3\xa1mbito.com,#,1264059
El Mercurio (Ecuador),#,805103
El Nuevo Siglo (Colombia),#,2587320
Buenos Aires Times,#,366577
De Morgen,#,294999
NY Metro Parents,#,3418573
vestnik kavkaza,#,291166
Diario Democracia,#,2824465
El Universal - Colombia,#,261532
El Ancasti Editorial,#,126405
Los Tiempos,#,293405
Libr\xc3\xb3patas,#,3206780
El Diario Nuevo Dia,#,293405
Worldmeets.us,#,293405
\xe0\xa4\x85\xe0\xa4\xae\xe0\xa4\xb0 \xe0\xa4\x89\xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbe,#,29691
Novi List,#,95645
NSC Total (libera\xc3\xa7\xc3\xa3o de imprensa) (Blogue),#,6877788
Diario Pagina Siete,#,293405
Diario NORTE,#,214890
Le Nouvelliste (Communiqu\xc3\xa9 de presse),#,148235
Misiones OnLine,#,126405
Entrelivros,#,2168448
La Nueva.,#,202249
LA NACION,#,2022495
Popular,#,1137653
El Tribuno.com.ar,#,156743
La Gaceta Tucum\xc3\xa1n,#,581467
El Pa\xc3\xads,#,293405
MDZ Online,#,2824465
El Cronista,#,2824465
BNamericas English,#,1807159
Zadarski List,#,15799
Ve\xc4\x8dernji list,#,273462
Son Dakika,#,260836
Kristeligt Dagblad,#,8449
\xd0\x92\xd0\xb5\xd1\x87\xd0\xb5\xd1\x80\xd0\xbd\xd0\xb8\xd0\xb9 \xd0\x93\xd1\x80\xd0\xbe\xd0\xb4\xd0\xbd\xd0\xbe - \xd0\xbd\xd0\xbe\xd0\xb2\xd0\xbe\xd1\x81\xd1\x82\xd0\xb8 \xd0\xb8 \xd1\x81\xd0\xbe\xd0\xb1\xd1\x8b\xd1\x82\xd0\xb8\xd1\x8f \xd0\x93\xd1\x80\xd0\xbe\xd0\xb4\xd0\xbd\xd0\xbe,#,260836
Sportske novosti,Voetbalzone,225707
EL LITORAL,#,252811
La Voz del Interior,#,821638
Modern Ghana,#,1807159
\xd0\x9a\xd1\x80\xd0\xb0\xd1\x81\xd0\xbd\xd0\xb0\xd1\x8f \xd0\x97\xd0\xb2\xd0\xb5\xd0\xb7\xd0\xb4\xd0\xb0,#,260836
The Jet Newspaper,#,29691
The Sociable,#,540404
JutarnjiList,Voetbalzone,297933
FBC News,#,29691
tvrgomel.by,#,260836
Midtjyllands Avis,#,5849
Jersey Evening Post,#,70000
Correio Braziliense,#,6877788
Di\xc3\xa1rio do Nordeste (Blogue),#,6877788
\xd0\x86\xd0\xbd\xd1\x84\xd0\xb0-\xd0\x9a\xd1\x83\xd1\x80\'\xd0\xb5\xd1\x80 (\xd0\xbf\xd1\x80\xd0\xb5\xd1\x81\xd1\x81-\xd1\x80\xd0\xb5\xd0\xbb\xd0\xb8\xd0\xb7),#,260836
Glas Istre,#,93442
rezonodwes.com,#,462941
Kjarninn (Fr\xc3\xa9ttatilkynning),#,2703
poslovni,#,93442
\xd9\x88\xd9\x83\xd8\xa7\xd9\x84\xd8\xa9 \xd8\xae\xd8\xa8\xd8\xb1 \xd9\x84\xd9\x84\xd8\xa3\xd9\x86\xd8\xa8\xd8\xa7\xd8\xa1 (\xd8\xa8\xd9\x8a\xd8\xa7\xd9\x86 \xd8\xb5\xd8\xad\xd9\x81\xd9\x8a),#,7334926
Fiji Sun Online,#,193934
The Copenhagen Post - Danish news in english,#,3899
NORDJYSKE,#,26648
lenational.org,#,462941
B\xc3\xb8rsen Online,#,18570
Kjarninn (Fr\xc3\xa9ttatilkynning),#,2703
Havana Times,#,96100
Dagbladet Information,#,7869
\xd8\xa7\xd8\xae\xd8\xa8\xd8\xa7\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85 (\xd8\xa8\xd9\x8a\xd8\xa7\xd9\x86 \xd8\xb5\xd8\xad\xd9\x81\xd9\x8a),#,1899521
Havana Times,#,96100
Havana Times,#,96100
dca.gob.gt,#,900464
Intex-press,#,95665
